impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K20-124926,A605548,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2077327,LOST,Midnight,Dog,,Male,Miniature Pinscher,Unknown,01/14/2020 12:00:00 AM,Date Lost,#634,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2077327,Image Copyright HLP Inc. 2020,,
K20-124710,A604632,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2073353,In Public Home,,Cat,,Male,Domestic Shorthair,Brown,01/04/2020 12:00:00 AM,Date Found,17980 NE UNION HILL RD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2073353,Image Copyright HLP Inc. 2020,,
K20-124836,A605105,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,NO AGE,Male,Domestic Longhair,Orange / White,01/11/2020 12:00:00 AM,Received on,47000 244TH AVE SE,ENUMCLAW,WA,98022,KING COUNTY,,,,Image Copyright HLP Inc. 2020,"Received on: 2020-01-11<p/> Found Near: 47000 244TH AVE SE, ENUMCLAW WA 98022<p/> Description: Orange / White Male Domestic Longhair Cat<p/> Age: NO AGE<p/>",
K20-125061,A606080,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Mosie,Dog,10 YEARS,Neutered Male,Pomeranian,Tan,01/24/2020 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,SEATAC,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A606080,Image Copyright HLP Inc. 2020,"Received on: 2020-01-24<p/> Description: Tan Neutered Male Pomeranian Dog<p/> Age: 10 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Mosie and I am available for adoption.<p/><p/>I was brought in by an Animal Control Officer on 1/24/20 because my owner passed away.<p/><p/>My personality color is GREEN. I am an adaptable dog who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home! I am a gentle and loving dog who likes to take things slow and would need a forever home that understand i am an old boy who needs someone to be gentle with me.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home! My caregivers have noticed that I seem to do well with other small older dogs. When meeting dogs in a new home, I would do best with a slow introduction. Because of my age i would prefer to be in a home with no children or older respectful children.<p/><p/>",GREEN
K19-124613,A604189,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A604189,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Trap,Dog,1 YEAR 5 MONTHS,Male,Pit Bull / Akita,Black / White,12/30/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A604189,Image Copyright HLP Inc. 2020,"Received on: 2019-12-30<p/> Description: Black / White<p/>  Male Pit Bull / Akita Dog<p/> Age: 1 YEAR 5 MONTHS<p/> Adoption Fee: $100.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Trap and I am available for adoption.<p/><p/>I was brought in by an Animal Control Officer on 12/30/19<p/><p/>My personality color is RED. I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/><p/> I am a very smart dog! At the shelter I am practicing how to ""sit"" and ""down""<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home! I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy. My caregivers have observed that I don't get along with other dogs. I may do best as the only dog in my new home, or need to meet other dogs in the home first. I would do best in a home with children who are comfortable with a jumping high energy pup like myself.Hi! My name is [name] and I am available for adoption.<p/><p/>",RED
K20-124693,A604519,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2072978,LOST,Brains,Cat,,Male,Domestic Shorthair,Unknown,01/03/2020 12:00:00 AM,Date Lost,16TH AVE S AND LUCILE ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2072978,Image Copyright HLP Inc. 2020,,
K20-124731,A604683,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Dog,2 YEARS,Female,Australian Cattle Dog,Blue Merle,01/06/2020 12:00:00 AM,Received on,20800 SE 424TH ST,ENUMCLAW,WA,98022,KING COUNTY,47.221005,-122.064168,,Image Copyright HLP Inc. 2020,"Received on: 2020-01-06<p/> Found Near: 20800 SE 424TH ST, ENUMCLAW WA 98022<p/> Description: Blue Merle Female Australian Cattle Dog Dog<p/> Age: 2 YEARS<p/>",
K20-125003,A605873,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2079047,LOST,Rue,Dog,,Male,Chihuahua - Smooth Coated,Unknown,01/22/2020 12:00:00 AM,Date Lost,800 NW 85TH ST,SEATTLE,WA,98117,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2079047,Image Copyright HLP Inc. 2020,,
K20-124931,A605593,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A605593,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Pancake,Dog,12 YEARS,Neutered Male,Chihuahua - Smooth Coated,Brown,01/17/2020 12:00:00 AM,Received on,9600 14TH AVE SW,SEATTLE,WA,98106,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A605593,Image Copyright HLP Inc. 2020,"Received on: 2020-01-17<p/> Found Near: 9600 14TH AVE SW, SEATTLE WA 98106<p/> Description: Brown Neutered Male Chihuahua - Smooth Coated Dog<p/> Age: 12 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",RED
K20-124699,A604525,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2073118,LOST,Hobbes,Cat,,Male,Domestic Mediumhair,Unknown,12/27/2019 12:00:00 AM,Date Lost,1286 173RD AVE NE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2073118,Image Copyright HLP Inc. 2020,,
K20-125125,A606230,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2080844,LOST,Midnight,Cat,,Female,Domestic Shorthair,Unknown,01/27/2020 12:00:00 AM,Date Lost,36211 SE SAINT ANDREWS LANE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2080844,Image Copyright HLP Inc. 2020,,
K20-124830,A605079,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2075319,In Public Home,,Dog,,Female,Rat Terrier,Black / White,01/10/2020 12:00:00 AM,Date Found,BOTHELL WAY AND 39TH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2075319,Image Copyright HLP Inc. 2020,,
K19-124495,A603821,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Cinnamon,Rabbit Sh,1 YEAR 1 MONTH,Spayed Female,Rabbit Sh,Tan,12/23/2019 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A603821,Image Copyright HLP Inc. 2020,"Received on: 2019-12-23<p/> Description: Tan Spayed Female Rabbit Sh Rabbit Sh<p/> Age: 1 YEAR 1 MONTH<p/> Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Cinnamon and I am available for adoption. I was brought in by a good samaritan on 12/23/19.<p/><p/>I have spent some time in foster care and my foster family says I am a shy but sweet girl! I do not jump on the furniture but I like to follow my people around the house. I am pretty calm and I don't mind being held. I ignore the guinea pig in the house and I seem to do well with small children. <p/><p/>I am living with my rabbit friend, Coco, in foster care. We get along great and we would love to go home together! <p/><p/>My personality color is BLUE. I am a gentle and loving bunny who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>",
K20-125168,A606461,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2081382,LOST,Loki,Bird,,,Fowl,Unknown,01/14/2020 12:00:00 AM,Date Lost,6025B 156TH ST SW,EDMONDS,WA,98026,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2081382,Image Copyright HLP Inc. 2020,,
K20-124929,A605584,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A605584,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",T Bone,Dog,8 YEARS,Neutered Male,Boxer / Chow Chow,Red / White,01/17/2020 12:00:00 AM,Received on,19100 SE COVINGTON SAWYER RD,KENT,WA,98042,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A605584,Image Copyright HLP Inc. 2020,"Received on: 2020-01-17<p/> Found Near: 19100 SE COVINGTON SAWYER RD, KENT WA 98042<p/> Description: Red / White Neutered Male Boxer / Chow Chow Dog<p/> Age: 8 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",RED
K20-125155,A606381,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,NO AGE,Male,Domestic Shorthair,Brn Tabby / Black,01/28/2020 12:00:00 AM,Received on,28000 108TH AVE SE,AUBURN,WA,98092,AUBURN,,,,Image Copyright HLP Inc. 2020,"Received on: 2020-01-28<p/> Found Near: 28000 108TH AVE SE, AUBURN WA 98092<p/> Description: Brn Tabby / Black Male Domestic Shorthair Cat<p/> Age: NO AGE<p/>",
K19-124473,A603753,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2068251,LOST,Juniper,Dog,,Female,Border Collie,Unknown,12/21/2019 12:00:00 AM,Date Lost,156TH AND 198TH ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2068251,Image Copyright HLP Inc. 2020,,
K20-125217,A606616,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A606616,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,7 MONTHS,Female,Siamese,Lynx Pt,02/01/2020 12:00:00 AM,Received on,3200 S 137TH ST,TUKWILA,WA,98168,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A606616,Image Copyright HLP Inc. 2020,"Received on: 2020-02-01<p/> Found Near: 3200 S 137TH ST, TUKWILA WA 98168<p/> Description: Lynx Pt Female Siamese Cat<p/> Age: 7 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-124615,A604189,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2071137,LOST,Trap,Dog,,Male,Pit Bull / Akita,Black / White,12/30/2019 12:00:00 AM,Date Lost,20902 MILITARY ROAD S,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2071137,Image Copyright HLP Inc. 2020,,RED
K20-125008,A605936,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,1 WEEK,Unaltered,Domestic Shorthair,Black / White,01/21/2020 12:00:00 AM,Received on,400 W CLOUDY ST,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A605936,Image Copyright HLP Inc. 2020,"Received on: 2020-01-21<p/> Found Near: 400 W CLOUDY ST, KENT WA 98032<p/> Description: Black / White Unaltered Domestic Shorthair Cat<p/> Age: 1 WEEK<p/> Current Location: In RASKC Foster Home <p/>",
K20-124826,A605069,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,NO AGE,Unaltered,Domestic Shorthair,Black,01/10/2020 12:00:00 AM,Received on,3200 S 146TH ST,SEATAC,WA,98168,SEATAC,,,,Image Copyright HLP Inc. 2020,"Received on: 2020-01-10<p/> Found Near: 3200 S 146TH ST, SEATAC WA 98168<p/> Description: Black Unaltered Domestic Shorthair Cat<p/> Age: NO AGE<p/>",
K19-124589,A604131,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2070756,LOST,Theo,Cat,,Male,Domestic Shorthair,Unknown,12/23/2019 12:00:00 AM,Date Lost,1338 BLAINE AVE NE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2070756,Image Copyright HLP Inc. 2020,,
K19-124621,A604243,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2071210,LOST,Brooks,Dog,,Male,Golden Retriever,Unknown,12/31/2019 12:00:00 AM,Date Lost,32545 240TH AVE SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2071210,Image Copyright HLP Inc. 2020,,
K20-125193,A606546,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2082008,LOST,Ayla,Dog,,Female,Jack Russell Terrier,Unknown,01/30/2020 12:00:00 AM,Date Lost,17500 34TH AVENUE S,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2082008,Image Copyright HLP Inc. 2020,,
K20-125137,A606301,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2080899,LOST,Hamilton,Cat,,Male,Pixiebob Shorthair,Unknown,01/23/2020 12:00:00 AM,Date Lost,20812 MAXWELL RD SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2080899,Image Copyright HLP Inc. 2020,,
K20-125150,A606356,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A606356,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Goat,NO AGE,Male,Goat,Black / Gray,01/28/2020 12:00:00 AM,Received on,19100 SE 295TH ST,KENT,WA,98042,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A606356,Image Copyright HLP Inc. 2020,"Received on: 2020-01-28<p/> Found Near: 19100 SE 295TH ST, KENT WA 98042<p/> Description: Black / Gray Male Goat Goat<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-124539,A604016,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Coco,Rabbit Sh,9 MONTHS,Neutered Male,Rabbit Sh / Rex,Buff,12/27/2019 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,SEATAC,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A604016,Image Copyright HLP Inc. 2020,"Received on: 2019-12-27<p/> Description: Buff Neutered Male Rabbit Sh / Rex Rabbit Sh<p/> Age: 9 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Coco and I am available for adoption. I was brought in by my previous owner on December 27, 2019 because they could no longer care for me. I have lived with children before and I seem to do well with them. My previous owner described me as very sweet. <p/><p/>I have spent some time in foster care and my foster family describes me as very bright. I love to follow my favorite people around and lay down at their feet. They say that I am very clean and that I love petting and being near you all the time. They also said I am very active and curious about other animals.<p/><p/>I am living with my friend, Cinnamon, in foster care. We get along great and we would love to go home together! <p/><p/>My personality color is GREEN. I am an adaptable rabbit who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/>",GREEN
K20-124781,A604876,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2074481,In Public Home,,Dog,,Female,German Shepherd,Unknown,01/07/2020 12:00:00 AM,Date Found,,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2074481,Image Copyright HLP Inc. 2020,,
K19-124565,A604083,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2070291,LOST,Jake,Cat,,Male,Domestic Shorthair,Unknown,12/28/2019 12:00:00 AM,Date Lost,14200 SE 272ND ST #C102,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2070291,Image Copyright HLP Inc. 2020,,
K20-125085,A606119,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A606119,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Fancy Face,Cat,5 YEARS 6 MONTHS,Spayed Female,Domestic Shorthair,Tortie / White,01/25/2020 12:00:00 AM,Received on,12040 NE 85TH ST,KIRKLAND,WA,98033,KIRKLAND,47.680519,-122.179195,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A606119,Image Copyright HLP Inc. 2020,"Received on: 2020-01-25<p/> Description: Tortie / White<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 5 YEARS 6 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p/>Hi! My name is Fancy Face and I am available for adoption.<p/><p/>I was brought in by a good samaritan on January 25th, 2020. <p/><p/>I'm still a little shy here in the shelter but with some time and TLC, I quickly come out of my shell and love to receive love. I'm a big time snuggler looking for a nice, warm lap to call my own. <p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>",BLUE
K20-125089,A606122,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2080340,LOST,"Qoya, Koya,",Dog,,Female,Labrador Retriever,Unknown,01/25/2020 12:00:00 AM,Date Lost,410 SW 108TH ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2080340,Image Copyright HLP Inc. 2020,,
K19-124588,A604130,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2070715,LOST,Dusty,Cat,,Male,Domestic Shorthair,Black,12/26/2019 12:00:00 AM,Date Lost,SE 240TH STREET,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2070715,Image Copyright HLP Inc. 2020,,
K20-124819,A605050,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2075082,LOST,Pele,Cat,,Male,Domestic Shorthair,Unknown,01/08/2020 12:00:00 AM,Date Lost,SE 59TH STREET AND LAKE WASHINGTON BLVD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2075082,Image Copyright HLP Inc. 2020,,
K20-125245,A066715,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A066715,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Xena,Dog,11 YEARS 3 MONTHS,Spayed Female,Jack Russell Terrier,White / Brown,02/03/2020 12:00:00 AM,Received on,6900 S 123RD ST,SEATTLE,WA,98178,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A066715,Image Copyright HLP Inc. 2020,"Received on: 2020-02-03<p/> Found Near: 6900 S 123RD ST, SEATTLE WA 98178<p/> Description: White / Brown Spayed Female Jack Russell Terrier Dog<p/> Age: 11 YEARS 3 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-124490,A603805,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2068635,LOST,Smokey,Dog,,Male,Rottweiler,Unknown,12/23/2019 12:00:00 AM,Date Lost,INTER URBAN 48TH STR,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2068635,Image Copyright HLP Inc. 2020,,
K20-125062,A606082,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2079940,LOST,Finn,Dog,,Male,Labrador Retriever,Unknown,01/24/2020 12:00:00 AM,Date Lost,6257 164TH AVE SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2079940,Image Copyright HLP Inc. 2020,,
K19-124472,A603752,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2068245,LOST,Bruiser,Dog,,Male,Rottweiler,Unknown,12/21/2019 12:00:00 AM,Date Lost,19100 34TH AVE S.,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2068245,Image Copyright HLP Inc. 2020,,
K20-125236,A606642,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A606642,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,NO AGE,Unaltered,Domestic Shorthair,Tortie / White,02/02/2020 12:00:00 AM,Received on,400 PETERSEN DR E,ENUMCLAW,WA,98022,ENUMCLAW,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A606642,Image Copyright HLP Inc. 2020,"Received on: 2020-02-02<p/> Found Near: 400 PETERSEN DR E, ENUMCLAW WA 98022<p/> Description: Tortie / White Unaltered Domestic Shorthair Cat<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-124837,A605106,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2075453,In Public Home,,Dog,,Male,Belgian Malinois,Brown / Black,01/11/2020 12:00:00 AM,Date Found,7412 117TH PL SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2075453,Image Copyright HLP Inc. 2020,,
K20-125154,A606373,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A606373,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,9 MONTHS,Neutered Male,Domestic Longhair,Gray Tabby / White,01/28/2020 12:00:00 AM,Received on,6800 S 217TH ST,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A606373,Image Copyright HLP Inc. 2020,"Received on: 2020-01-28<p/> Found Near: 6800 S 217TH ST, KENT WA 98032<p/> Description: Gray Tabby / White Neutered Male Domestic Longhair Cat<p/> Age: 9 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-124920,A605526,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2077175,LOST,Bentley,Dog,,Male,Yorkshire Terrier,Unknown,01/13/2020 12:00:00 AM,Date Lost,EDMOND ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2077175,Image Copyright HLP Inc. 2020,,
K20-124914,A605468,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2077045,LOST,Midnight,Dog,,Male,Miniature Pinscher,Unknown,01/14/2020 12:00:00 AM,Date Lost,00 HAYES PL SW RENTON,,WA,98057,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2077045,Image Copyright HLP Inc. 2020,,
K19-124527,A603939,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2069356,LOST,Hachy,Dog,,Male,Shih Tzu,Unknown,12/24/2019 12:00:00 AM,Date Lost,130 112 SW APT C105,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2069356,Image Copyright HLP Inc. 2020,,
K20-124732,A604705,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2073704,LOST,Mittens,Cat,,Male,Domestic Shorthair,Unknown,01/01/2020 12:00:00 AM,Date Lost,6552 49TH AVE SW,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2073704,Image Copyright HLP Inc. 2020,,
K20-125209,A606596,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A606596,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Renji,Dog,1 YEAR,Male,Australian Shepherd / Golden Retriever,Red Merle,01/31/2020 12:00:00 AM,Received on,39600 AUBURN ENUMCLAW RD SE,AUBURN,WA,98092,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A606596,Image Copyright HLP Inc. 2020,"Received on: 2020-01-31<p/> Found Near: 39600 AUBURN ENUMCLAW RD SE, AUBURN WA 98092<p/> Description: Red Merle Male Australian Shepherd / Golden Retriever Dog<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
